  LShift,    0,  959
       A,    0,  178
       P,  583,  111
       O,  251,   90
       L,  337,   85
       L,  196,   81
       O,  240,  125
   Space,  240,  658
       1,   86,   90
       1,  183,   85
   Space,  183,  751
       W,  943,  110
       A,  245,  106
       S,  216,  112
   Space,  216,  272
       T,  352,  120
       H,  626,  103
       E,  194,  125
   Space,  194,  301
       S,  834,  132
       P,  799,  101
       A,  236,  112
       C,  290,   99
       E,  322,  103
       F,  521,  112
       L,  385,  103
       I,  386,   80
       G,  194,   90
       H,  228,   93
       T,  300,  103
   Space,  300,   63
       T,  244,   99
       H,  344,   80
       A,  166,  122
       T,  309,   95
   Space,  309,  503
       L,  463,   93
       A,  310,  139
       N,  308,   98
       D,  305,  104
       E,  229,  101
       D,  246,   98
   Space,  246,  618
       T,  833,  120
       H,  281,   99
       E,  379,  121
   Space,  379,  658
       F,  461,  111
       I,  280,   86
       R,  194,  111
       S,  771,  111
       T,  273,  111
   Space,  273,  339
       T,  523,  108
       W,  532,  125
       O,  340,  113
   Space,  340,  332
       P,  664,   83
       E,  742,  140
       O,  568,   90
       P,  765,  107
       L,  239,  103
       E,  213,  118
   Space,  213,  300
       O,  689,  121
       N,  267,   95
   Space,  267,  316
       T,  636,  113
       H,  422,   83
       E,  449,   88
   Space,  449,  683
  LShift,  784,  125
       M,  121,  112
       O,    5,   67
       O,  199,   62
       N,  288,   83
   Space,  288,  376
  LShift,  355,  114
       A,  345,  113
       R,  775,  117
       M,  298,   82
       S,  306,  119
       T,  301,  108
       R,  275,  108
       O,  590,  120
       N,  376,  101
       G,  356,  118
   Space,  356,  542
       B,  778,   90
       E,  469,  101
       C,  355,   88
       A,  506,  126
       M,  293,  109
       E,  181,  121
   Space,  181,  620
       T,  991,  109
       H,  300,   94
       E,  190,  127
   Space,  190,  363
       F,  367,  106
       I,  227,  105
       R,  557,   90
       S,  483,  126
       T,  295,  108
   Space,  295,  689
       P,  838,   57
       E,  945,  106
       R,  481,   85
       S,  241,  122
       O,  527,  106
       N,  530,   90
   Space,  530,  303
       T,  137,  103
       O,  654,   93
   Space,  654,  332
       S,  349,  103
       T,  228,   86
       E,  269,   76
       P,  362,   76
   Space,  362,  772
       O,  195,   88
       N,  220,   99
       T,  160,  119
       O,  129,  104
   Space,  129,  317
       T,  819,  114
       H,  499,  112
       E,  261,  138
   Space,  261,  296
       L,  643,   81
       U,  342,  111
       N,  360,   97
       A,  216,  116
       R,  332,   98
   Space,  332,  375
       S,  624,  114
       U,  295,  102
       R,  381,  111
       F,  249,  101
       A,  574,  105
       C,  259,   82
       E,  287,  117
   Space,  287,  605
       S,   55,  130
       I,  234,   87
       X,  466,  108
   Space,  466,  511
       H,  806,  107
       O,  538,   98
       U,  238,  109
       R,  238,   95
       S,  334,  125
   Space,  334,  371
       A,   93,  121
       F,  367,  106
       T,  249,  109
       E,  254,   96
       R,  220,  126
   Space,  220,  518
       L,   81,  113
       A,  594,  135
       N,  252,  121
       D,  284,  125
       I,  353,  126
       N,  261,  101
       G,  220,  111
   Space,  220,  357
       O,   54,   91
       N,  288,   94
   Space,  288,  321
  LShift,  532,  122
       J,  863,   89
       U,  465,   98
       L,  781,   85
       Y,  272,  122
   Space,  272,  610
       2,  648,  115
       1,  296,  109
   Space,  296,  483
  LShift,  132,  114
       A,  171,  103
       L,  890,   92
       D,  686,  132
       R,  496,  126
       I,  267,  105
       N,  246,  121
   Space,  246,  415
       J,  908,  114
       O,  321,  114
       I,  240,  107
       N,  268,  104
       E,  376,  135
       D,  298,  120
   Space,  298,  439
       H,  913,  110
       I,  380,  118
       M,  236,  113
   Space,  236,  329
       2,  984,  139
       0,  586,   86
   Space,  586,  462
       M,  844,   98
       I,  454,   90
       N,  339,   91
       U,  184,   95
       T,  259,  113
       E,  326,   88
       S,  274,   73
   Space,  274,  320
       L,  862,   95
       A,  202,  121
       T,  366,  111
       E,  287,  100
       R,  204,  117
