  LShift,    0,  192
       A,    0,   50
       P,  379,  150
       O,  379,  204
       L,  324,   75
       L,  135,   88
       O,  150,  100
   Space,  150,  239
       1,  347,  104
       1,  165,  125
   Space,  165,  301
       W,  313,  176
       A,  267,   33
       S,  267,  157
   Space,  267,  264
       T,  379,  104
       H,  379,  206
       E,  795,  116
   Space,  795,  249
       S,  436,  122
       P,  174,  116
       A,  119,  108
       C,  212,  116
       E,  179,  119
       F,  424,  104
       L,  125,  196
       I,  125,  302
       G,  541,  103
       H,  197,   17
       T,  197,  162
   Space,  197,  256
       T,  826,  128
       H,  229,  128
       A,  134,  154
       T,  187,  154
   Space,  187,  268
       L,  463,  112
       A,  463,  212
       N,  246,  106
       D,  181,  213
       E,  181,  246
       D,  358,  120
   Space,  358,  565
       T,  344,  113
       H,  344,  240
       E,  250,  146
   Space,  250,  273
       F,  480,  122
       I,  415,  110
       R,  205,  145
       S,  205,  196
       T,  277,  127
   Space,  277,  324
       T,  382,  150
       W,  382,  224
       O,  390,  120
   Space,  390,  267
       P,  620,   81
       E,  137,  112
       O,  673,  117
       P,  244,  152
       L,  244,  241
       E,  846,  134
   Space,  846,  423
       O,  494,  205
       N,  273,  143
   Space,  273,  309
       T,  353,  101
       H,  112,  116
       E,  186,  126
   Space,  186,  220
  LShift,  352,  201
       M,  399,  135
       O,  203,   75
       O,  155,   75
       N,  187,  100
   Space,  187,  285
  LShift,  125,  348
       A,  653,  137
       R,  342,  130
       M,  218,  124
       S,  344,   86
       T,  224,  143
       R,  224,  201
       O,  207,  144
       N,  207,  262
       G,  295,  122
   Space,  295,  312
       B,  172,  138
       E,  364,  103
       C,  309,  146
       A,  309,  191
       M,  269,  136
       E,  269,  281
   Space,  269,  391
       T,  349,   88
       H,  153,  107
       E,  126,  150
   Space,  126,  303
       F,  814,  160
       I,  540,  120
       R,  256,  135
       S,  256,  227
       T,  341,  132
   Space,  341,  265
       P,  933,  103
       E,  138,  145
       R,  138,  223
       S,  488,  130
       O,  137,  192
       N,  197,  143
   Space,  197,  380
       T,   51,  120
       O,   51,  242
   Space,   51,  365
       S,  607,  103
       T,  212,  129
       E,  212,  178
       P,  249,  129
   Space,  249,  356
       O,  510,  197
       N,  238,  138
       T,  195,  116
       O,  228,  116
   Space,  228,  433
       T,  601,  116
       H,  176,   98
       E,  118,  161
   Space,  118,  247
       L,  306,  114
       U,  353,  129
       N,  202,  132
       A,  141,  146
       R,  249,  126
   Space,  249,  457
       S,   99,  135
       U,  342,  112
       R,  423,  105
       F,  865,  122
       A,  865,  205
       C,  324,  119
       E,  150,  164
   Space,  150,  291
       S,  973,  122
       I,  261,  125
       X,  216,  153
   Space,  216,  311
       H,  687,   99
       O,  220,  194
       U,  220,  270
       R,   93,  141
       S,   93,  199
   Space,   93,  440
       A,    1,  114
       F,  215,  111
       T,  306,  106
       E,  203,   19
       R,  203,  145
   Space,  203,  251
       L,  527,  124
       A,  197,   88
       N,  228,  124
       D,  573,  152
       I,  173,  176
       N,  173,  256
       G,  302,  154
   Space,  302,  320
       O,  904,  135
       N,  215,   96
   Space,  215,  251
  LShift,  684,  381
       J,  529,  109
       U,  521,  107
       L,  153,  114
       Y,  344,   96
   Space,  344,    7
       2,  213,  189
       1,  213,  253
   Space,  213,  386
  LShift,   80,  225
       A,  730,  103
       L,  689,  117
       D,  292,  136
       R,  301,  124
       I,  863,  155
       N,  229,  155
   Space,  229,  888
       J,  205,  215
       O,  205,  256
       I,  445,  109
       N,  259,  119
       E,  260,  110
       D,  308,  124
   Space,  308,  549
       H,  932,   81
       I,   85,  122
       M,  166,  117
   Space,  166,  248
       2,  469,   96
       0,  150,  119
   Space,  150,  645
       M,  719,  184
       I,  719,  246
       N,  404,  217
       U,  404,  299
       T,  890,  171
       E,  890,  313
       S,  482,  103
   Space,  482,  370
       L,  650,  103
       A,  650,  231
       T,  343,  122
       E,  205,   31
       R,  205,   97
